ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
1,1,19,Female,Single,35000,Frist-Hand,492303,390000,60,5.265,Average_Capital_Plus_Interest_Repayment
2,1,20,Female,Unknown,10000,Frist-Hand,541044,240000,60,5.7375,Average_Capital_Plus_Interest_Repayment
3,1,21,Female,Unknown,20000,Second-Hand,770684,540000,60,5.508,Average_Capital_Plus_Interest_Repayment
4,0,23,Female,Married,25000,Frist-Hand,1239492.63,530000,60,4.032,Average_Capital_Plus_Interest_Repayment
5,0,23,Female,Married,23000,Frist-Hand,1166250.11,510000,60,4.896,Average_Capital_Plus_Interest_Repayment
6,1,24,Female,Single,12000,Second-Hand,354254,245000,60,6.786,Average_Capital_Plus_Interest_Repayment
7,0,24,Female,Unknown,20000,Frist-Hand,2298724.2,5.00E+05,60,4.032,Average_Capital_Plus_Interest_Repayment
8,0,25,Female,Single,25000,Frist-Hand,1735548.16,550000,60,4.032,Matching_The_Principal_Repayment
9,0,25,Female,Single,4000,Second-Hand,251841,1.00E+05,60,4.032,Average_Capital_Plus_Interest_Repayment
10,1,26,Female,Single,8200,Second-Hand,287752,2.00E+05,60,6.426,Average_Capital_Plus_Interest_Repayment
11,1,26,Female,Unknown,20000,Frist-Hand,538698,320000,60,4.896,Matching_The_Principal_Repayment
12,0,27,Male,Married,4000,Second-Hand,600397.12,1.00E+05,60,5.184,Average_Capital_Plus_Interest_Repayment
13,1,27,Male,Single,6000,Frist-Hand,157046,109000,60,6.579,Average_Capital_Plus_Interest_Repayment
14,1,27,Female,Single,15000,Frist-Hand,549154,439000,60,6.579,Average_Capital_Plus_Interest_Repayment
15,0,27,Female,Married,22000,Frist-Hand,1446803.06,4.00E+05,60,4.032,Average_Capital_Plus_Interest_Repayment
16,1,27,Female,Married,13000,Frist-Hand,1079279,2.00E+05,60,4.896,Matching_The_Principal_Repayment
17,1,28,Male,Single,6000,Frist-Hand,233188,110000,60,4.158,Average_Capital_Plus_Interest_Repayment
18,0,28,Male,Married,8000,Frist-Hand,1298229.47,2.00E+05,60,4.032,Matching_The_Principal_Repayment
19,1,28,Male,Single,5700,Frist-Hand,233822,150000,60,6.579,Average_Capital_Plus_Interest_Repayment
20,1,28,Female,Married,8000,Second-Hand,222069,160000,60,4.896,Average_Capital_Plus_Interest_Repayment
21,1,29,Male,Married,7000,Second-Hand,255379,85000,60,7.029,Average_Capital_Plus_Interest_Repayment
22,1,29,Female,Single,1.00E+05,Frist-Hand,432663,340000,60,4.896,Average_Capital_Plus_Interest_Repayment
23,1,29,Female,Single,1.00E+05,Frist-Hand,439890,350000,60,4.896,Average_Capital_Plus_Interest_Repayment
24,1,29,Female,Married,50000,Frist-Hand,1471599,1.00E+06,60,5.508,Matching_The_Principal_Repayment
25,1,30,Male,Married,20000,Frist-Hand,1118089,780000,60,6.579,Matching_The_Principal_Repayment
26,1,31,Male,Single,3800,Second-Hand,4.00E+05,1.00E+05,60,4.032,Matching_The_Principal_Repayment
27,0,31,Male,Married,23000,Frist-Hand,672242.79,320000,60,4.032,Average_Capital_Plus_Interest_Repayment
28,1,31,Male,Married,28000,Frist-Hand,1862872,6.00E+05,60,5.508,Matching_The_Principal_Repayment
29,1,31,Male,Unknown,18178,Frist-Hand,792530,2.00E+05,60,6.579,Matching_The_Principal_Repayment
30,0,31,Female,Married,15000,Frist-Hand,1764795.68,640000,60,4.032,Matching_The_Principal_Repayment
31,1,31,Male,Married,14000,Frist-Hand,447524,350000,60,5.265,Average_Capital_Plus_Interest_Repayment
32,0,32,Female,Married,0,Frist-Hand,465094.71,140000,60,4.896,Average_Capital_Plus_Interest_Repayment
33,1,32,Male,Married,25000,Frist-Hand,678626,470000,60,6.579,Average_Capital_Plus_Interest_Repayment
34,0,32,Male,Single,12000,Frist-Hand,530276.9,260000,60,4.032,Average_Capital_Plus_Interest_Repayment
