ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
1,1,1,0,0,1,0,0,0,4,2,0
2,1,1,0,1,0,0,0,0,4,3,0
3,1,1,0,1,1,1,3,3,4,2,0
4,0,1,0,2,1,0,3,3,4,1,0
5,0,1,0,2,1,0,3,3,4,2,0
6,1,1,0,0,0,1,0,0,4,0,0
7,0,1,0,1,1,0,2,3,4,1,0
8,0,1,0,0,1,0,2,3,4,1,1
9,0,1,0,0,0,1,0,0,4,1,0
10,1,1,0,0,0,1,0,0,4,0,0
11,1,1,0,1,1,0,0,0,4,2,1
12,0,1,1,2,0,1,0,0,4,2,0
13,1,1,1,0,0,0,0,0,4,0,0
14,1,1,0,0,0,0,0,3,4,0,0
15,0,1,0,2,1,0,2,0,4,1,0
16,1,1,0,2,0,0,3,0,4,2,1
17,1,4,1,0,0,0,0,0,4,1,0
18,0,4,1,2,0,0,3,0,4,1,1
19,1,4,1,0,0,0,0,0,4,0,0
20,1,4,0,2,0,1,0,0,4,2,0
21,1,4,1,2,0,1,0,0,4,0,0
22,1,4,0,0,2,0,0,0,4,2,0
23,1,4,0,0,2,0,0,0,4,2,0
24,1,4,0,2,2,0,2,1,4,2,1
25,1,4,1,2,1,0,3,3,4,0,1
26,1,4,1,0,0,1,0,0,4,1,1
27,0,4,1,2,1,0,0,0,4,1,0
28,1,4,1,2,1,0,2,3,4,2,1
29,1,4,1,1,1,0,3,0,4,0,1
30,0,4,0,2,0,0,2,3,4,1,1
31,1,4,1,2,0,0,0,0,4,2,0
32,0,4,0,2,0,0,0,0,4,2,0
33,1,4,1,2,1,0,0,3,4,0,0
34,0,4,1,0,0,0,0,0,4,1,0
35,0,0,1,2,1,0,2,0,4,1,0
36,1,0,0,2,2,0,4,4,4,0,1
37,0,0,1,0,2,0,0,0,4,2,0
38,1,0,1,2,0,1,0,0,4,0,1
39,1,0,0,0,0,0,0,0,4,2,1
40,0,0,1,2,0,1,3,0,4,2,0
41,1,0,1,1,1,0,0,3,4,0,1
42,1,0,0,2,1,0,0,3,4,0,0
43,1,0,1,2,2,0,0,3,4,0,0
44,1,0,1,2,1,1,3,3,4,2,0
45,1,0,0,2,0,0,0,0,4,3,1
46,0,0,1,0,0,1,0,0,4,2,0
47,1,0,1,2,2,0,2,1,4,2,0
48,1,0,1,2,2,1,2,3,4,0,0
49,1,0,1,2,1,1,0,0,4,2,0
50,1,0,0,0,0,0,0,0,4,2,0
51,1,0,0,2,0,0,2,3,4,3,0
52,0,0,1,0,1,0,3,3,4,2,0
53,0,0,1,0,0,0,2,0,4,2,1
54,1,0,1,1,0,0,0,0,4,3,0
55,1,0,0,2,1,0,0,0,4,2,0
56,0,0,0,2,0,0,3,0,4,1,0
57,1,0,1,0,1,0,0,3,4,0,0
58,1,0,0,0,0,0,2,1,4,0,0
59,0,0,0,2,1,0,3,3,4,2,0
60,1,0,1,0,0,0,0,0,4,2,0
61,0,0,0,0,0,0,3,0,4,1,0
62,1,0,0,2,1,1,0,0,4,2,0
63,0,0,0,2,1,0,3,0,4,1,1
64,1,0,1,2,1,1,0,0,4,0,0
65,1,0,0,2,0,1,0,0,4,2,0
66,1,0,1,2,1,0,3,3,4,2,0
67,1,0,0,2,1,1,3,1,4,0,0
68,1,0,0,2,2,0,0,0,4,0,0
69,1,0,1,0,0,0,3,3,4,2,0
70,1,0,0,2,1,0,3,3,4,3,0
71,1,2,1,2,2,0,0,0,4,0,0
72,1,2,0,0,0,0,0,0,4,0,0
73,1,2,1,2,2,0,0,0,4,2,0
74,0,2,1,0,0,0,3,0,4,2,0
75,0,2,0,2,2,0,4,1,4,1,0
76,1,2,1,0,0,1,0,0,4,0,1
77,1,2,0,2,0,1,3,3,4,3,0
78,1,2,1,0,1,0,3,3,4,0,0
79,0,2,1,0,2,0,2,3,4,1,0
80,1,2,0,0,0,0,0,0,4,0,1
81,0,2,1,2,1,0,1,4,4,2,0
82,1,2,0,1,1,0,0,0,4,2,0
83,1,2,0,1,2,0,2,1,4,0,0
