movieId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,label
1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
29,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
30,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2
34,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
42,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
44,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
48,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
50,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2
